Date;Pret_McDonald's;Pret_S.P.500;Pret_Chipotle
Apr 5, 2024;266.69;5,204.34;47.29
Apr 8, 2024;267.56;5,202.39;50.08
Apr 9, 2024;269.44;5,209.91;52.02
Apr 10, 2024;268.67;5,160.64;51.67
Apr 11, 2024;268.62;5,199.06;50.21
Apr 12, 2024;267.39;5,123.41;49.91
Apr 15, 2024;266.23;5,061.82;50.92
Apr 16, 2024;265.43;5,051.41;50.07
Apr 17, 2024;269.95;5,022.21;49.51
Apr 18, 2024;270.98;5,011.12;49.6
Apr 19, 2024;271.99;4,967.23;48.53
Apr 22, 2024;275.58;5,010.60;49
Apr 23, 2024;276.88;5,070.55;48.99
Apr 24, 2024;276.75;5,071.63;47.79
Apr 25, 2024;275.6;5,048.42;49.65
Apr 26, 2024;273.09;5,099.96;50.03
Apr 29, 2024;273.55;5,116.17;48.73
Apr 30, 2024;273.04;5,035.69;50.05
May 1, 2024;274.43;5,018.39;49.98
May 2, 2024;273.28;5,064.20;49.83
May 3, 2024;270.32;5,127.79;50.23
May 6, 2024;269.3;5,180.74;51.47
May 7, 2024;267.5;5,187.70;53.6
May 8, 2024;268.49;5,187.67;53.17
May 9, 2024;267.95;5,214.08;54.33
May 10, 2024;275;5,222.68;53.97
May 13, 2024;271.32;5,221.42;52.74
May 14, 2024;270.66;5,246.68;53.42
May 15, 2024;273.87;5,308.15;52.47
May 16, 2024;273.51;5,297.10;51.21
May 17, 2024;272.38;5,303.27;51.51
May 20, 2024;267.87;5,308.13;53.05
May 21, 2024;265.87;5,321.41;53.8
May 22, 2024;265.77;5,307.01;54.49
May 23, 2024;257.93;5,267.84;57.08
May 24, 2024;258.11;5,304.72;58.13
May 28, 2024;253.54;5,306.04;57.29
May 29, 2024;249.37;5,266.95;56.18
May 30, 2024;252.07;5,235.48;57.8
May 31, 2024;258.89;5,277.51;57.27
Jun 3, 2024;259.75;5,283.40;57.32
Jun 4, 2024;262.72;5,291.34;57.51
Jun 5, 2024;259.99;5,354.03;59.02
Jun 6, 2024;260.72;5,352.96;58.36
Jun 7, 2024;256.21;5,346.99;58.35
Jun 10, 2024;253.81;5,360.79;58.99
Jun 11, 2024;254.28;5,375.32;58.27
Jun 12, 2024;254.48;5,421.03;57.83
Jun 13, 2024;253.7;5,433.74;58.3
Jun 14, 2024;253.58;5,431.60;56.7
Jun 17, 2024;253.51;5,473.23;57.56
Jun 18, 2024;250.79;5,487.03;55.9
Jun 20, 2024;253.8;5,473.17;56.2
Jun 21, 2024;259.39;5,464.62;57.52
Jun 24, 2024;260.38;5,447.87;58.36
Jun 25, 2024;257.38;5,469.30;57.37
Jun 26, 2024;257.83;5,477.90;56.44
Jun 27, 2024;258.17;5,482.87;56.26
Jun 28, 2024;254.84;5,460.48;56.5
Jul 1, 2024;249.99;5,475.09;57.92
Jul 2, 2024;247.79;5,509.01;57.99
Jul 3, 2024;250;5,537.02;58.8
Jul 5, 2024;251.09;5,567.19;59.7
Jul 8, 2024;247.85;5,572.85;59.89
Jul 9, 2024;245.82;5,576.98;60.3
Jul 10, 2024;250.49;5,633.91;60.09
Jul 11, 2024;254.8;5,584.54;60.78
Jul 12, 2024;253.9;5,615.35;61.47
Jul 15, 2024;251.53;5,631.22;62.24
Jul 16, 2024;257.27;5,667.20;61.58
Jul 17, 2024;261;5,588.27;61.87
Jul 18, 2024;259.52;5,544.59;61.74
Jul 19, 2024;257.28;5,505.00;61.34
Jul 22, 2024;259.54;5,564.41;64.29
Jul 23, 2024;254.05;5,555.74;64.8
Jul 24, 2024;253.37;5,427.13;64.59
