Date;Pret EURO/LEI;Price Aur/EURO
Jan 01, 2018;4.6688;1084.29
Jan 02, 2018;4.64;1092.13
Jan 03, 2018;4.6234;1092.47
Jan 04, 2018;4.6325;1095.63
Jan 05, 2018;4.6315;1096.92
Jan 08, 2018;4.6502;1102.86
Jan 09, 2018;4.6468;1099.3
Jan 10, 2018;4.6395;1101.72
Jan 11, 2018;4.6411;1098.67
Jan 12, 2018;4.6326;1097.99
Jan 15, 2018;4.6381;1092.26
Jan 16, 2018;4.6563;1091.25
Jan 17, 2018;4.6481;1087.84
Jan 18, 2018;4.6535;1083.75
Jan 19, 2018;4.6613;1089.27
Jan 22, 2018;4.667;1087.43
Jan 23, 2018;4.6673;1090.08
Jan 24, 2018;4.6651;1094.27
Jan 25, 2018;4.6751;1087.27
Jan 26, 2018;4.6646;1086.5
Jan 29, 2018;4.6546;1082.05
Jan 30, 2018;4.6521;1078.93
Jan 31, 2018;4.6532;1082.43
Feb 01, 2018;4.6535;1077.73
Feb 02, 2018;4.6456;1069.5
Feb 05, 2018;4.6384;1082.55
Feb 06, 2018;4.6512;1069.77
Feb 07, 2018;4.6563;1074.92
Feb 08, 2018;4.6542;1076.51
Feb 09, 2018;4.6575;1075.64
Feb 12, 2018;4.6553;1075.55
Feb 13, 2018;4.6604;1075.81
Feb 14, 2018;4.6605;1084.19
Feb 15, 2018;4.6633;1081.79
Feb 16, 2018;4.6604;1086.21
Feb 19, 2018;4.6615;1085.03
Feb 20, 2018;4.6605;1077.07
Feb 21, 2018;4.6599;1077.8
Feb 22, 2018;4.6557;1079.76
Feb 23, 2018;4.6524;1080.91
Feb 26, 2018;4.6582;1082.07
Feb 27, 2018;4.6629;1077.41
Feb 28, 2018;4.6565;1080.47
Mar 01, 2018;4.6584;1073.21
Mar 02, 2018;4.6594;1073.36
Mar 05, 2018;4.656;1069.99
Mar 06, 2018;4.6611;1075.52
Mar 07, 2018;4.6216;1067.57
Mar 08, 2018;4.6569;1072.98
Mar 09, 2018;4.6583;1075.34
Mar 12, 2018;4.6611;1072.2
Mar 13, 2018;4.6684;1070.06
Mar 14, 2018;4.6617;1070.9
Mar 15, 2018;4.6665;1069.37
Mar 16, 2018;4.67;1068.26
Mar 19, 2018;4.6662;1067.16
Mar 20, 2018;4.666;1070.57
Mar 21, 2018;4.6681;1079.25
Mar 22, 2018;4.6681;1079.8
Mar 23, 2018;4.6626;1090.05
Mar 26, 2018;4.6528;1087.41
Mar 27, 2018;4.653;1083.68
Mar 28, 2018;4.6536;1076
Mar 29, 2018;4.6591;1076.34
Mar 30, 2018;4.6535;1074.33
Apr 02, 2018;4.6607;1089.86
Apr 03, 2018;4.6601;1085.85
Apr 04, 2018;4.6627;1085.56
Apr 05, 2018;4.6625;1083.28
Apr 06, 2018;4.6633;1084.97
Apr 09, 2018;4.6631;1084.22
Apr 10, 2018;4.6563;1083.59
Apr 11, 2018;4.6624;1093.79
Apr 12, 2018;4.6612;1082.8
Apr 13, 2018;4.6605;1090.58
Apr 16, 2018;4.6422;1086.78
Apr 17, 2018;4.6448;1088.76
Apr 18, 2018;4.6532;1090.04
Apr 19, 2018;4.658;1089.39
Apr 20, 2018;4.6582;1086.02
Apr 23, 2018;4.6585;1084.27
Apr 24, 2018;4.6529;1087.27
Apr 25, 2018;4.6466;1087.68
Apr 26, 2018;4.6586;1087.79
Apr 27, 2018;4.6615;1089.59
Apr 30, 2018;4.6604;1088.53
May 01, 2018;4.6712;1086.88
May 02, 2018;4.6634;1091.32
May 03, 2018;4.6672;1093.61
May 04, 2018;4.6589;1099.02
May 07, 2018;4.6555;1101.91
May 08, 2018;4.6517;1107.43
May 09, 2018;4.647;1107.42
May 10, 2018;4.638;1108.51
May 11, 2018;4.6361;1103.03
May 14, 2018;4.6255;1100.19
May 15, 2018;4.6365;1090
May 16, 2018;4.6333;1092.67
May 17, 2018;4.6348;1093.59
May 18, 2018;4.6357;1096.35
May 21, 2018;4.6241;1095.81
May 22, 2018;4.6277;1095.86
May 23, 2018;4.6258;1105.41
May 24, 2018;4.6295;1113.03
May 25, 2018;4.6281;1116.5
May 28, 2018;4.6386;1116.3
May 29, 2018;4.6442;1124.55
May 30, 2018;4.6511;1115.33
May 31, 2018;4.6607;1109.54
Jun 01, 2018;4.6651;1108.6
Jun 04, 2018;4.6568;1104.1
Jun 05, 2018;4.6509;1105.99
Jun 06, 2018;4.6553;1100.73
Jun 07, 2018;4.6555;1098.21
Jun 08, 2018;4.6586;1102.8
Jun 11, 2018;4.6623;1102.78
Jun 12, 2018;4.6617;1102.89
Jun 13, 2018;4.6658;1101.76
Jun 14, 2018;4.6655;1125.08
Jun 15, 2018;4.6645;1101.54
Jun 18, 2018;4.6685;1099.37
Jun 19, 2018;4.6703;1099.31
Jun 20, 2018;4.6716;1095.24
Jun 21, 2018;4.67;1091.61
Jun 22, 2018;4.6615;1087.99
Jun 25, 2018;4.6673;1080.64
Jun 26, 2018;4.6587;1080.47
Jun 27, 2018;4.6524;1083.18
Jun 28, 2018;4.6597;1078.43
Jun 29, 2018;4.6642;1071.49
Jul 02, 2018;4.6624;1066.65
Jul 03, 2018;4.6579;1074.22
Jul 04, 2018;4.663;1077.54
Jul 05, 2018;4.6629;1075.28
Jul 06, 2018;4.6627;1067.5
Jul 09, 2018;4.6584;1069.79
Jul 10, 2018;4.6571;1068.64
Jul 11, 2018;4.6593;1063.51
Jul 12, 2018;4.6589;1067.99
Jul 13, 2018;4.6517;1061.95
Jul 16, 2018;4.6562;1058.98
Jul 17, 2018;4.6508;1052.24
Jul 18, 2018;4.6543;1053.63
Jul 19, 2018;4.6531;1049.72
Jul 20, 2018;4.6531;1050.48
Jul 23, 2018;4.6467;1046.82
Jul 24, 2018;4.6307;1047.36
Jul 25, 2018;4.6219;1049.67
Jul 26, 2018;4.6376;1049.7
Jul 27, 2018;4.625;1049.04
Jul 30, 2018;4.6258;1043.13
Jul 31, 2018;4.6226;1046.37
Aug 01, 2018;4.6195;1042.27
Aug 02, 2018;4.621;1041.97
Aug 03, 2018;4.6181;1048.61
Aug 06, 2018;4.6416;1043.88
Aug 07, 2018;4.6455;1043.57
Aug 08, 2018;4.6409;1044.78
Aug 09, 2018;4.6549;1051.33
Aug 10, 2018;4.6557;1061.03
Aug 13, 2018;4.6592;1045.78
Aug 14, 2018;4.6557;1052.03
Aug 15, 2018;4.6655;1034.88
Aug 16, 2018;4.657;1031.34
Aug 17, 2018;4.654;1035.45
Aug 20, 2018;4.6473;1036.46
Aug 21, 2018;4.6437;1033.07
Aug 22, 2018;4.6452;1030.44
Aug 23, 2018;4.6334;1026.79
Aug 24, 2018;4.6369;1037.12
Aug 27, 2018;4.6463;1036.89
Aug 28, 2018;4.6433;1026.5
Aug 29, 2018;4.6305;1029.97
Aug 30, 2018;4.6479;1027.77
Aug 31, 2018;4.6403;1034.65
Sep 03, 2018;4.6317;1032.6
Sep 04, 2018;4.629;1028.2
Sep 05, 2018;4.6354;1028.54
Sep 06, 2018;4.6389;1032.24
Sep 07, 2018;4.6391;1034.5
Sep 10, 2018;4.6275;1030.9
Sep 11, 2018;4.6331;1031.57
Sep 12, 2018;4.6353;1036.68
Sep 13, 2018;4.6402;1026.94
Sep 14, 2018;4.6414;1025.8
Sep 17, 2018;4.6452;1027.79
Sep 18, 2018;4.6472;1026.23
Sep 19, 2018;4.6507;1030.99
Sep 20, 2018;4.654;1024.59
Sep 21, 2018;4.6547;1020.42
Sep 24, 2018;4.6573;1019.98
Sep 25, 2018;4.6601;1020.03
Sep 26, 2018;4.6595;1017.09
Sep 27, 2018;4.6624;1015.56
Sep 28, 2018;4.655;1026.43
Oct 01, 2018;4.6643;1025.67
Oct 02, 2018;4.6675;1041.28
Oct 03, 2018;4.6654;1042.61
Oct 04, 2018;4.672;1041.48
Oct 05, 2018;4.6726;1043.35
Oct 08, 2018;4.6688;1033.25
Oct 09, 2018;4.6605;1034.78
Oct 10, 2018;4.667;1036.59
Oct 11, 2018;4.6654;1055.39
Oct 12, 2018;4.6662;1052.86
Oct 15, 2018;4.6636;1059.1
Oct 16, 2018;4.6663;1057.39
Oct 17, 2018;4.6662;1062.04
Oct 18, 2018;4.6704;1069.5
Oct 19, 2018;4.6678;1064.48
Oct 22, 2018;4.6665;1065.26
Oct 23, 2018;4.6651;1072.14
Oct 24, 2018;4.6603;1082.09
Oct 25, 2018;4.6616;1082.53
Oct 26, 2018;4.6617;1081.06
Oct 29, 2018;4.6673;1080.51
Oct 30, 2018;4.6644;1077.8
Oct 31, 2018;4.6635;1073.08
Nov 01, 2018;4.6634;1080.36
Nov 02, 2018;4.6589;1082.17
Nov 05, 2018;4.6609;1079.01
Nov 06, 2018;4.6617;1072.62
Nov 07, 2018;4.6611;1072.65
Nov 08, 2018;4.6569;1075.99
Nov 09, 2018;4.6581;1066.51
Nov 12, 2018;4.6555;1069.62
Nov 13, 2018;4.6593;1064.14
Nov 14, 2018;4.6589;1070.32
Nov 15, 2018;4.6626;1070.58
Nov 16, 2018;4.6666;1069.3
Nov 19, 2018;4.6659;1068.02
Nov 20, 2018;4.6647;1074.28
Nov 21, 2018;4.6621;1076.46
Nov 22, 2018;4.6606;1075.2
Nov 23, 2018;4.6595;1077.7
Nov 26, 2018;4.6605;1078.31
Nov 27, 2018;4.6541;1075.95
Nov 28, 2018;4.6384;1073.97
Nov 29, 2018;4.6587;1073.39
Nov 30, 2018;4.6535;1079.49
Dec 03, 2018;4.6471;1083.5
Dec 04, 2018;4.6528;1091.23
Dec 05, 2018;4.6546;1090.17
Dec 06, 2018;4.6518;1087.38
Dec 07, 2018;4.6417;1096.45
Dec 10, 2018;4.6532;1094.64
Dec 11, 2018;4.6562;1097.47
Dec 12, 2018;4.6523;1095.22
Dec 13, 2018;4.6537;1092.43
Dec 14, 2018;4.6571;1094.62
Dec 17, 2018;4.6494;1097.43
Dec 18, 2018;4.6444;1099.35
Dec 19, 2018;4.6593;1091.98
Dec 20, 2018;4.6348;1100.1
Dec 21, 2018;4.6378;1104.3
Dec 24, 2018;4.6438;1112.71
Dec 25, 2018;4.6323;1116.24
Dec 26, 2018;4.6439;1115.41
Dec 27, 2018;4.657;1114.41
Dec 28, 2018;4.6624;1119.08
Dec 31, 2018;4.6558;1117.65
Jan 01, 2019;4.6564;1118.24
Jan 02, 2019;4.6582;1131.57
Jan 03, 2019;4.6623;1135.31
Jan 04, 2019;4.6609;1127.34
Jan 07, 2019;4.6605;1122.59
Jan 08, 2019;4.6698;1122.9
Jan 09, 2019;4.6727;1119.8
Jan 10, 2019;4.6788;1118.07
Jan 11, 2019;4.6809;1122.4
Jan 14, 2019;4.6833;1124.49
Jan 15, 2019;4.6817;1129.52
Jan 16, 2019;4.6914;1134.32
Jan 17, 2019;4.6974;1133.03
Jan 18, 2019;4.7041;1127.1
Jan 21, 2019;4.7104;1125.46
Jan 22, 2019;4.7674;1130.97
Jan 23, 2019;4.7675;1126.63
Jan 24, 2019;4.7706;1132.42
Jan 25, 2019;4.7592;1142.2
Jan 28, 2019;4.7749;1139.99
Jan 29, 2019;4.7602;1146.32
Jan 30, 2019;4.747;1148.94
Jan 31, 2019;4.7359;1154.22
Feb 01, 2019;4.7538;1150.23
Feb 04, 2019;4.7523;1146.14
Feb 05, 2019;4.7454;1151.73
Feb 06, 2019;4.7401;1149.35
Feb 07, 2019;4.7472;1154.14
Feb 08, 2019;4.7499;1159.44
Feb 11, 2019;4.7443;1159.46
Feb 12, 2019;4.748;1157.01
Feb 13, 2019;4.7409;1159.49
Feb 14, 2019;4.7378;1161.24
Feb 15, 2019;4.7404;1169.55
Feb 18, 2019;4.7459;1172.24
Feb 19, 2019;4.7477;1182.16
Feb 20, 2019;4.7531;1179.85
Feb 21, 2019;4.7618;1166.88
Feb 22, 2019;4.7629;1170.2
Feb 25, 2019;4.7661;1168.2
Feb 26, 2019;4.7657;1165.49
Feb 27, 2019;4.7408;1160.44
Feb 28, 2019;4.7458;1154.74
Mar 01, 2019;4.7498;1136.59
Mar 04, 2019;4.7396;1134.25
Mar 05, 2019;4.747;1138.43
Mar 06, 2019;4.7448;1136.97
Mar 07, 2019;4.7429;1148.1
Mar 08, 2019;4.7438;1154.51
Mar 11, 2019;4.7465;1149.34
Mar 12, 2019;4.7726;1152.53
Mar 13, 2019;4.7716;1155.45
Mar 14, 2019;4.7583;1146.35
Mar 15, 2019;4.7539;1148.8
Mar 18, 2019;4.7519;1149.72
Mar 19, 2019;4.7575;1150.53
Mar 20, 2019;4.7512;1149.43
Mar 21, 2019;4.752;1150.85
Mar 22, 2019;4.7558;1160.52
Mar 25, 2019;4.7515;1168.18
Mar 26, 2019;4.7497;1167.39
Mar 27, 2019;4.7558;1164.54
Mar 28, 2019;4.7637;1148.72
Mar 29, 2019;4.7705;1151.53
Apr 01, 2019;4.7602;1148.06
Apr 02, 2019;4.7549;1153.28
Apr 03, 2019;4.7507;1147.9
Apr 04, 2019;4.7435;1151.36
Apr 05, 2019;4.7479;1151.19
Apr 08, 2019;4.747;1151.69
Apr 09, 2019;4.7555;1157.62
Apr 10, 2019;4.753;1160.01
Apr 11, 2019;4.7502;1148.25
Apr 12, 2019;4.7563;1141.26
Apr 15, 2019;4.7564;1138.29
Apr 16, 2019;4.756;1131.71
Apr 17, 2019;4.7588;1127
