;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
GEO (Labels);utiliz act. s.m b.16-24;utiliz act s.m f,16-24;utiliz act s.m b , 25-34;utiliz act s.mf,25-34;utiliz act s.m b,35-44;utiliz act s.m f,35-44;utiliz act s.m b ,45-54;utiliz act s.m f , 45-54;utiliz act. s.m b, niv mic studii;utiliz act s.m f,niv mic studii;utiliz act s.m b,studii sup;utiliz act s.m f,studii sup;disc pr politica b,16-24;disc pr politica f,16-24;disc pr politica b,25-34;disc pr politica f,25-34;disc pr politica b,35-44;disc pr politica f,35-44;disc pr politica b,45-54;disc pr politica f,45-54;disc pr politica b,niv std slab;disc pr politica f,niv std slab;disc pr politica b,std superioare;disc pr politica f,std superioare
Belgium;92.43;92.37;88.63;89.82;71.71;76.61;67.49;75.29;60.31;60.89;73.6;81.15;13.62;8.91;15.95;10.64;16.28;9.65;13.37;11.35;9.49;7.67;17.83;9
Bulgaria;95.34;92.92;88.29;90.7;86.75;89.71;77.47;83.17;75.71;72.83;82.17;86.26;22.9;27.42;31.16;23.79;22.95;24.91;23.5;23.28;16.2;13.27;24.76;23.45
Czechia;97.46;99.29;94.2;96.19;82.76;88.2;65.6;73.04;87.5;82.81;75.78;83.87;10.92;8.04;8.26;5.3;15.67;8.31;9.09;7.69;11.57;5.96;12.9;10.19
Denmark;98.09;100;97.77;99.08;90.56;97.27;91.78;97.65;89.53;94.02;93.13;95.56;16.46;15.81;20.25;14.2;26.64;17.54;22.47;18.29;22.96;17.92;19.46;16.59
Germany;73.4;77.73;69.93;76.7;57.85;63.32;49.6;49.6;54.6;53.27;51.21;57.66;17.39;16.34;14.67;13.92;15.77;14.12;12.8;9.35;12.74;11.45;13.8;12.82
Estonia;92.21;95.56;86.02;92.9;78.62;90.41;56.78;78.95;78.76;82.56;66.08;77.67;12.48;14.01;15.7;12.28;12.9;12.36;12.51;11.95;11.34;10.41;14.96;12.81
Ireland;100;78.43;94.29;90.3;76.25;84.37;70.34;78.62;45.36;55;76.18;75.81;51.75;0;11.81;14.13;25.77;14.72;23.55;23.63;1.74;4.13;23.51;14.74
Greece;93.91;98.13;89.02;94.22;80.13;86.7;75.39;82.57;57.71;66.58;89.31;93.42;30.86;35.38;30.02;29.91;22.13;23.91;16.68;19.96;17.91;17.91;23.09;26.04
Spain;86.87;93.75;81.8;89.82;70.27;78.21;59.27;70.39;56.73;61.01;68.26;77.56;22.57;25.99;24.14;19.39;20.73;16.09;17.86;12.25;16.12;12.05;20.4;18.29
France;70.27;74.7;56.24;71.3;44.26;57.91;43.49;46.75;44.01;47.73;48.56;55.46;16.49;16.16;14.77;14.05;13.47;11.85;11.48;9.71;10.86;10.53;16.2;11.1
Croatia;89.92;97.6;78.18;94.95;79.06;87.82;68.53;76.88;74.3;65.82;58.56;80.54;4.7;51.71;32.96;25.17;14.47;32.51;14.79;11.07;4.76;3.84;27.6;38.58
Italy;80.66;83.88;74.56;79.21;67.79;70.1;56.25;58.35;54.54;55.45;67.13;68.67;33.17;30.49;29.54;31.63;30.57;30.36;26.35;24.08;22.24;20.29;33.47;29.46
Cyprus;97.31;97.72;97.18;96.32;89.74;95.36;85.55;90.27;87.57;84.53;91.39;94.48;7.44;10.41;10.41;10.99;13.98;10.36;12.97;7.08;6.04;5.85;15.46;12.17
